epoch,train_loss,train_acc,train_elapsed_s,val_acc,val_f1_macro,val_recall_anemia,val_recall_normal,lr
1,0.15576950929191596,0.6902094495859717,46.816212599980645,0.7250996015936255,0.7193258244874807,0.6083333333333333,0.8320610687022901,0.001
2,0.1315442219528987,0.7622990745250853,46.85804130003089,0.7091633466135459,0.7087009745473045,0.7,0.7175572519083969,0.001
3,0.11023333470921835,0.8022406234778373,47.69946949998848,0.7330677290836654,0.7274613078356698,0.6166666666666667,0.8396946564885496,0.001
4,0.10418578808881339,0.8280565026790063,48.03868200001307,0.6972111553784861,0.6969754733765409,0.7,0.6946564885496184,0.001
5,0.09367598716987963,0.8451047247929859,48.4869350999943,0.6772908366533864,0.6726139675689602,0.8333333333333334,0.5343511450381679,0.001
6,0.08327921336227316,0.8714076960545543,48.183888699975796,0.7051792828685259,0.7050622459349594,0.7166666666666667,0.6946564885496184,0.0005
7,0.05718395244910827,0.9123234291281052,48.678677100047935,0.7569721115537849,0.7568331612800763,0.7666666666666667,0.7480916030534351,0.0005
8,0.03502344699005818,0.9532391622016562,47.851412300020456,0.6972111553784861,0.6971678943357886,0.7416666666666667,0.6564885496183206,0.0005
9,0.03371530463052592,0.9488553336580614,48.2437069999869,0.7609561752988048,0.7609220218440437,0.8083333333333333,0.7175572519083969,0.0005
10,0.031100406563676134,0.9585971748660497,48.15975709998747,0.7569721115537849,0.7567249789472013,0.7583333333333333,0.7557251908396947,0.0005
11,0.03483553799173191,0.9556746225036532,48.94739269994898,0.7250996015936255,0.7250297689926173,0.7416666666666667,0.7099236641221374,0.0005
12,0.030835554490471054,0.9571358986848514,48.776646099984646,0.7171314741035857,0.7170596173692149,0.7333333333333333,0.7022900763358778,0.00025
13,0.01794831750844594,0.9736970287384316,48.54325919999974,0.7609561752988048,0.7608612804878049,0.775,0.7480916030534351,0.00025
14,0.012029114327086358,0.9853872381880175,48.71670610003639,0.7529880478087649,0.7529527559055118,0.775,0.732824427480916,0.00025
15,0.00954007147045836,0.9892839746712129,50.278021200036164,0.7370517928286853,0.7370142240284481,0.7583333333333333,0.7175572519083969,0.000125
16,0.006300695409290591,0.9926936190940088,49.60022580000805,0.7330677290836654,0.7330507801958823,0.775,0.6946564885496184,0.000125
17,0.005376808766635834,0.9922065270336093,47.78764840000076,0.7450199203187251,0.745015873015873,0.7833333333333333,0.7099236641221374,0.000125
